Trip_ID,City,Country,Region,Latitude,Longitude,Currency,Travel_Date,Duration_Days,No_of_Travelers,Budget_Per_Person_USD,Total_Budget_USD,Travel_Type,Airline,Accommodation_Type,Season,Transport_Mode,Visa_Type,Rating,Trip_Purpose,Distance_KM
TRIP-000548,Phnom Penh,Cambodia,Asia,11.5564,104.9282,KHR,30-07-2023,8,3,491.29,1473.87,Backpacking,United,5-Star Hotel,Summer,Bicycle,E-Visa,1,Shopping,12471.7
TRIP-000549,Prague,Czech Republic,Europe,50.0755,14.4378,CZK,25-05-2021,20,10,1144.07,11440.7,Luxury,IndiGo,Guest House,Winter,Car Rental,On Arrival,1.5,Skiing,9950.1
TRIP-000550,Phnom Penh,Cambodia,Asia,11.5564,104.9282,KHR,30-08-2023,9,9,3567.43,32106.87,Business,Turkish Airlines,4-Star Hotel,Winter,Walking Tour,On Arrival,5,Wildlife Safari,8244.6
TRIP-000551,Kyoto,Japan,Asia,35.0116,135.7681,JPY,26-02-2023,2,1,1933.32,1933.32,Adventure,ANA,Boutique Hotel,Summer,Cruise,Transit Visa,3,Wildlife Safari,13282
TRIP-000552,Phnom Penh,Cambodia,Asia,11.5564,104.9282,KHR,25-03-2019,19,8,6668.77,53350.16,Backpacking,Cathay Pacific,3-Star Hotel,Spring,Bicycle,On Arrival,5,Skiing,8625.9
TRIP-000553,Ulaanbaatar,Mongolia,Asia,47.8864,106.9057,MNT,28-03-2022,20,6,7711.41,46268.46,Business,Delta,5-Star Hotel,Summer,Motorbike,On Arrival,3,Photography,4875.2
TRIP-000554,London,UK,Europe,51.5074,-0.1278,GBP,29-10-2021,13,2,4395.85,8791.7,Business,United,Hostel,Summer,Car Rental,Transit Visa,3.5,Cultural,6237.8
TRIP-000555,Ulaanbaatar,Mongolia,Asia,47.8864,106.9057,MNT,14-12-2018,30,2,8715.61,17431.22,Business,Cathay Pacific,Resort,Spring,Walking Tour,Transit Visa,1.5,Wildlife Safari,5130.2
TRIP-000556,Tel Aviv,Israel,Middle East,32.0853,34.7818,ILS,10-10-2023,29,7,2812.87,19690.09,Solo,Turkish Airlines,Homestay,Winter,Motorbike,E-Visa,4.5,Beach,8861
TRIP-000557,Phnom Penh,Cambodia,Asia,11.5564,104.9282,KHR,14-02-2019,23,4,3492.48,13969.92,Solo,Singapore Airlines,Homestay,Autumn,Motorbike,Visa Free,5,Food Tour,12190.7
TRIP-000558,Yangon,Myanmar,Asia,16.8661,96.1951,MMK,05-11-2018,27,9,2297.99,20681.91,Budget,Turkish Airlines,Hostel,Spring,Train,E-Visa,3,Shopping,808.2
TRIP-000559,Zurich,Switzerland,Europe,47.3769,8.5417,CHF,03-10-2018,19,9,4857.63,43718.67,Leisure,United,Airbnb,Autumn,Bicycle,Transit Visa,2.5,Diving,5275
TRIP-000560,Reykjavik,Iceland,Europe,64.1265,-21.8174,ISK,30-03-2020,14,7,2662.39,18636.73,Luxury,Singapore Airlines,5-Star Hotel,Summer,Walking Tour,Business Visa,5,Skiing,6853.1
TRIP-000561,Zurich,Switzerland,Europe,47.3769,8.5417,CHF,23-12-2023,26,10,8557.19,85571.9,Business,Cathay Pacific,Hostel,Autumn,Walking Tour,Business Visa,4,Food Tour,14026.1
TRIP-000562,Prague,Czech Republic,Europe,50.0755,14.4378,CZK,14-05-2021,28,7,4220.55,29543.85,Group Tour,Air France,Airbnb,Summer,Cruise,Transit Visa,1.5,Photography,9545.5
TRIP-000563,Santorini,Greece,Europe,36.3932,25.4615,EUR,21-07-2022,8,2,1669.63,3339.26,Family,ANA,Guest House,Winter,Bicycle,Transit Visa,1,Sightseeing,3759.2
TRIP-000564,Shanghai,China,Asia,31.2304,121.4737,CNY,15-10-2019,9,3,485.59,1456.77,Adventure,United,5-Star Hotel,Winter,Flight,Tourist Visa,3,Beach,9914.2
TRIP-000565,Reykjavik,Iceland,Europe,64.1265,-21.8174,ISK,30-09-2024,10,2,9025.63,18051.26,Leisure,Turkish Airlines,3-Star Hotel,Summer,Train,E-Visa,4,Diving,13461.9
TRIP-000566,Los Angeles,USA,North America,34.0522,-118.2437,USD,08-11-2023,22,10,9506.81,95068.1,Leisure,Lufthansa,Homestay,Spring,Motorbike,On Arrival,5,Photography,3851.9
TRIP-000567,Salzburg,Austria,Europe,47.8095,13.055,EUR,17-05-2022,26,4,9367.9,37471.6,Adventure,Lufthansa,Airbnb,Winter,Bicycle,On Arrival,2.5,Photography,2249.7
TRIP-000568,Barcelona,Spain,Europe,41.3851,2.1734,EUR,02-07-2023,18,6,7056.25,42337.5,Group Tour,ANA,Hostel,Autumn,Bus,On Arrival,1.5,Skiing,4815.7
TRIP-000569,Cartagena,Colombia,South America,10.391,-75.4794,COP,15-02-2022,27,5,406.53,2032.65,Business,Air India,Hostel,Autumn,Bicycle,On Arrival,1,Shopping,12637.9
TRIP-000570,Miami,USA,North America,25.7617,-80.1918,USD,15-05-2019,18,4,8604.94,34419.76,Group Tour,Korean Air,Airbnb,Autumn,Train,Business Visa,4,Cultural,217.2
TRIP-000571,Hong Kong,China,Asia,22.3193,114.1694,HKD,19-10-2019,30,8,6387.26,51098.08,Family,Thai Airways,4-Star Hotel,Winter,Walking Tour,Transit Visa,4,Wildlife Safari,11860.8
TRIP-000572,Nairobi,Kenya,Africa,-1.2921,36.8219,KES,27-09-2022,29,2,8279.13,16558.26,Solo,Turkish Airlines,Homestay,Autumn,Walking Tour,Transit Visa,3,Sightseeing,7644.4
TRIP-000573,Split,Croatia,Europe,43.5081,16.4402,EUR,02-08-2018,21,3,6375.53,19126.59,Honeymoon,United,Airbnb,Autumn,Train,Tourist Visa,2,Hiking,145.8
TRIP-000574,Venice,Italy,Europe,45.4408,12.3155,EUR,17-10-2023,23,3,8500.21,25500.63,Solo,ANA,Guest House,Summer,Cruise,Business Visa,4,Photography,11910.4
TRIP-000575,Marrakech,Morocco,Africa,31.6295,-7.9811,MAD,28-02-2021,7,2,4262.06,8524.12,Group Tour,Thai Airways,Homestay,Summer,Flight,Tourist Visa,2,Diving,5963.1
TRIP-000576,Dar es Salaam,Tanzania,Africa,-6.7924,39.2083,TZS,11-11-2024,21,4,9087.08,36348.32,Adventure,Emirates,Boutique Hotel,Winter,Cruise,Business Visa,4.5,Beach,3054.2
TRIP-000577,Rio de Janeiro,Brazil,South America,-22.9068,-43.1729,BRL,28-11-2019,19,2,338.33,676.66,Backpacking,Thai Airways,Guest House,Spring,Car Rental,Transit Visa,5,Food Tour,6583.9
TRIP-000578,Beijing,China,Asia,39.9042,116.4074,CNY,26-12-2020,10,8,3944.32,31554.56,Budget,Lufthansa,Airbnb,Summer,Bicycle,Business Visa,4,Wildlife Safari,12859.4
TRIP-000579,Vienna,Austria,Europe,48.2082,16.3738,EUR,28-04-2018,10,5,2507.76,12538.8,Solo,Delta,Guest House,Spring,Flight,Visa Free,4.5,Hiking,13619.2
TRIP-000580,Marrakech,Morocco,Africa,31.6295,-7.9811,MAD,17-06-2022,22,4,7190.69,28762.76,Family,Qatar Airways,4-Star Hotel,Spring,Flight,On Arrival,4,Food Tour,11068
TRIP-000581,Hanoi,Vietnam,Asia,21.0285,105.8542,VND,22-12-2021,20,10,7153.75,71537.5,Luxury,Delta,Boutique Hotel,Autumn,Bicycle,Transit Visa,1,Shopping,179.9
TRIP-000582,Toronto,Canada,North America,43.6532,-79.3832,CAD,10-04-2024,2,10,1957.85,19578.5,Solo,Korean Air,Guest House,Summer,Train,On Arrival,2,Diving,7605.8
TRIP-000583,Osaka,Japan,Asia,34.6937,135.5023,JPY,04-08-2019,9,2,3270.04,6540.08,Family,Air India,Resort,Winter,Cruise,On Arrival,2,Photography,7538.2
TRIP-000584,Split,Croatia,Europe,43.5081,16.4402,EUR,16-12-2020,17,6,4470.6,26823.6,Backpacking,IndiGo,3-Star Hotel,Winter,Flight,Business Visa,2,Hiking,4801.6
TRIP-000585,Rome,Italy,Europe,41.9028,12.4964,EUR,30-07-2020,6,1,4808.43,4808.43,Group Tour,Qatar Airways,Guest House,Spring,Walking Tour,On Arrival,2,Diving,10618.8
TRIP-000586,Phnom Penh,Cambodia,Asia,11.5564,104.9282,KHR,18-02-2023,16,2,8489.22,16978.44,Leisure,Lufthansa,Airbnb,Summer,Bus,Transit Visa,2,Diving,1942.4
TRIP-000587,Zurich,Switzerland,Europe,47.3769,8.5417,CHF,26-04-2024,29,10,2281.48,22814.8,Budget,Singapore Airlines,Boutique Hotel,Spring,Car Rental,Visa Free,1,Beach,7937.6
TRIP-000588,Nairobi,Kenya,Africa,-1.2921,36.8219,KES,17-04-2018,10,2,4062.86,8125.72,Adventure,Emirates,4-Star Hotel,Winter,Walking Tour,Visa Free,1.5,Cultural,12571
TRIP-000589,Accra,Ghana,Africa,5.6037,-0.187,GHS,24-01-2018,11,1,6630.49,6630.49,Budget,Singapore Airlines,Hostel,Spring,Cruise,On Arrival,4.5,Sightseeing,4941.2
TRIP-000590,Krakow,Poland,Europe,50.0647,19.945,PLN,17-10-2018,18,10,3937.63,39376.3,Honeymoon,IndiGo,Boutique Hotel,Spring,Flight,Business Visa,4,Hiking,3901.9
TRIP-000591,Bogota,Colombia,South America,4.711,-74.0721,COP,07-07-2022,10,3,1381.9,4145.7,Family,Korean Air,Homestay,Summer,Motorbike,Transit Visa,4.5,Beach,12036.4
TRIP-000592,Rio de Janeiro,Brazil,South America,-22.9068,-43.1729,BRL,01-10-2023,7,8,4565.34,36522.72,Budget,Delta,Boutique Hotel,Spring,Bicycle,On Arrival,4,Photography,7199
TRIP-000593,Seoul,South Korea,Asia,37.5665,126.978,KRW,14-11-2022,21,7,1110.89,7776.23,Backpacking,United,Hostel,Summer,Walking Tour,E-Visa,5,Diving,5192
TRIP-000594,Bangkok,Thailand,Asia,13.7563,100.5018,THB,05-04-2021,15,7,975.99,6831.93,Adventure,United,Airbnb,Summer,Bicycle,On Arrival,4.5,Photography,4575.9
TRIP-000595,Rome,Italy,Europe,41.9028,12.4964,EUR,06-03-2024,3,1,5231.46,5231.46,Leisure,ANA,Homestay,Autumn,Motorbike,On Arrival,5,Photography,6431.2
TRIP-000596,Bangkok,Thailand,Asia,13.7563,100.5018,THB,25-08-2023,1,2,7457.06,14914.12,Adventure,Thai Airways,Boutique Hotel,Spring,Train,Visa Free,4.5,Cultural,2775.3
TRIP-000597,Reykjavik,Iceland,Europe,64.1265,-21.8174,ISK,02-08-2024,24,8,7622.07,60976.56,Family,British Airways,3-Star Hotel,Summer,Bus,Tourist Visa,4.5,Photography,9394.8
TRIP-000598,Madrid,Spain,Europe,40.4168,-3.7038,EUR,12-03-2019,14,9,375.57,3380.13,Adventure,United,Guest House,Winter,Bicycle,Transit Visa,4,Photography,1838.5
TRIP-000599,Cusco,Peru,South America,-13.5319,-71.9675,PEN,17-06-2023,10,10,8168.7,81687,Group Tour,IndiGo,Airbnb,Spring,Bus,Business Visa,3.5,Sightseeing,10390.9
TRIP-000600,Beijing,China,Asia,39.9042,116.4074,CNY,04-04-2019,27,1,7021.12,7021.12,Honeymoon,ANA,3-Star Hotel,Summer,Bicycle,Transit Visa,2.5,Diving,12899.3
TRIP-000601,Beijing,China,Asia,39.9042,116.4074,CNY,19-12-2018,10,8,1652.02,13216.16,Adventure,Korean Air,3-Star Hotel,Winter,Walking Tour,Visa Free,4,Sightseeing,425.1
TRIP-000602,Taipei,Taiwan,Asia,25.033,121.5654,TWD,25-07-2024,8,4,3089.35,12357.4,Business,Qatar Airways,Boutique Hotel,Winter,Walking Tour,Transit Visa,4,Photography,858.7
TRIP-000603,Accra,Ghana,Africa,5.6037,-0.187,GHS,20-03-2024,10,1,4977.47,4977.47,Budget,Korean Air,Guest House,Summer,Flight,E-Visa,4.5,Sightseeing,7749
TRIP-000604,Chiang Mai,Thailand,Asia,18.7883,98.9853,THB,18-06-2024,11,9,822.4,7401.6,Leisure,ANA,Homestay,Autumn,Walking Tour,Transit Visa,4,Wildlife Safari,13348.2
TRIP-000605,New York,USA,North America,40.7128,-74.006,USD,23-10-2019,10,4,4798.56,19194.24,Honeymoon,Delta,Resort,Winter,Bus,On Arrival,4.5,Wildlife Safari,3558.3
TRIP-000606,Phuket,Thailand,Asia,7.8804,98.3923,THB,15-01-2022,26,8,8037.6,64300.8,Family,Air India,4-Star Hotel,Winter,Bus,Business Visa,2,Food Tour,9365.5
TRIP-000607,Budapest,Hungary,Europe,47.4979,19.0402,HUF,17-10-2024,16,2,7976.13,15952.26,Honeymoon,Cathay Pacific,5-Star Hotel,Spring,Motorbike,On Arrival,4.5,Shopping,4624.4
TRIP-000608,Chicago,USA,North America,41.8781,-87.6298,USD,12-10-2019,6,9,513.31,4619.79,Leisure,Delta,Hostel,Spring,Car Rental,Visa Free,1.5,Cultural,5132.2
TRIP-000609,Colombo,Sri Lanka,Asia,6.9271,79.8612,LKR,26-12-2021,25,1,7746.93,7746.93,Adventure,Thai Airways,Camping,Spring,Flight,Visa Free,5,Skiing,4085.6
TRIP-000610,Dubrovnik,Croatia,Europe,42.6507,18.0944,EUR,31-03-2019,4,10,6174.63,61746.3,Business,Cathay Pacific,4-Star Hotel,Summer,Train,Business Visa,1.5,Shopping,12371.8
TRIP-000611,Budapest,Hungary,Europe,47.4979,19.0402,HUF,11-04-2021,23,8,7667.25,61338,Leisure,Singapore Airlines,Resort,Autumn,Bus,Tourist Visa,4.5,Food Tour,11015
TRIP-000612,Kyoto,Japan,Asia,35.0116,135.7681,JPY,30-08-2022,25,1,2604.1,2604.1,Luxury,Singapore Airlines,4-Star Hotel,Autumn,Motorbike,Transit Visa,4.5,Wildlife Safari,5185.7
TRIP-000613,Buenos Aires,Argentina,South America,-34.6037,-58.3816,ARS,02-10-2020,5,9,4332.88,38995.92,Group Tour,Turkish Airlines,Boutique Hotel,Winter,Motorbike,Tourist Visa,2.5,Skiing,2156.1
TRIP-000614,Vienna,Austria,Europe,48.2082,16.3738,EUR,10-02-2018,23,9,9447.7,85029.3,Group Tour,IndiGo,3-Star Hotel,Winter,Flight,Visa Free,1.5,Sightseeing,5140.7
TRIP-000615,Vancouver,Canada,North America,49.2827,-123.1207,CAD,11-09-2019,29,10,766.54,7665.4,Group Tour,Turkish Airlines,Camping,Autumn,Motorbike,On Arrival,5,Sightseeing,14592.7
TRIP-000616,Copenhagen,Denmark,Europe,55.6761,12.5683,DKK,02-12-2023,20,3,7062.89,21188.67,Luxury,Delta,Homestay,Winter,Motorbike,Transit Visa,4.5,Wildlife Safari,9693.8
TRIP-000617,Riga,Latvia,Europe,56.9496,24.1052,EUR,19-03-2020,29,5,1025.95,5129.75,Adventure,Cathay Pacific,Camping,Autumn,Car Rental,Tourist Visa,5,Diving,5083.9
TRIP-000618,Muscat,Oman,Middle East,23.588,58.3829,OMR,02-07-2021,17,6,7619.05,45714.3,Luxury,Delta,Airbnb,Summer,Cruise,Transit Visa,2,Wildlife Safari,449
TRIP-000619,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,29-03-2019,24,1,8447.52,8447.52,Solo,Qatar Airways,5-Star Hotel,Spring,Walking Tour,On Arrival,3,Photography,9442.1
TRIP-000620,Salzburg,Austria,Europe,47.8095,13.055,EUR,22-01-2018,15,6,9832.92,58997.52,Honeymoon,British Airways,Airbnb,Autumn,Bus,Transit Visa,5,Wildlife Safari,12683
TRIP-000621,Dhaka,Bangladesh,Asia,23.8103,90.4125,BDT,11-10-2020,4,6,5261.23,31567.38,Solo,ANA,4-Star Hotel,Summer,Bicycle,Visa Free,2.5,Beach,12360.4
TRIP-000622,Istanbul,Turkey,Europe/Asia,41.0082,28.9784,TRY,12-09-2018,14,3,4867.28,14601.84,Luxury,Turkish Airlines,Homestay,Winter,Cruise,E-Visa,4.5,Skiing,1263.3
TRIP-000623,Dakar,Senegal,Africa,14.7167,-17.4677,XOF,01-10-2022,15,8,7370.83,58966.64,Adventure,Cathay Pacific,3-Star Hotel,Winter,Walking Tour,Business Visa,4,Diving,12374.8
TRIP-000624,Riyadh,Saudi Arabia,Middle East,24.7136,46.6753,SAR,29-04-2019,23,4,4663.24,18652.96,Luxury,British Airways,4-Star Hotel,Winter,Train,Tourist Visa,1,Shopping,11222.8
TRIP-000625,Tbilisi,Georgia,Europe/Asia,41.6938,44.8015,GEL,01-04-2021,2,9,1702.38,15321.42,Solo,Air France,Airbnb,Winter,Flight,Business Visa,3.5,Hiking,4643.4
TRIP-000626,Ulaanbaatar,Mongolia,Asia,47.8864,106.9057,MNT,24-09-2022,2,5,8912.76,44563.8,Backpacking,Emirates,4-Star Hotel,Autumn,Train,Tourist Visa,2.5,Wildlife Safari,2827.8
TRIP-000627,Ho Chi Minh City,Vietnam,Asia,10.8231,106.6297,VND,05-06-2024,10,10,4633.27,46332.7,Backpacking,Thai Airways,Homestay,Summer,Bus,E-Visa,3.5,Skiing,11742.1
TRIP-000628,Split,Croatia,Europe,43.5081,16.4402,EUR,17-01-2023,22,8,1660.03,13280.24,Budget,United,Homestay,Winter,Bicycle,Business Visa,3.5,Wildlife Safari,1430.8
TRIP-000629,Colombo,Sri Lanka,Asia,6.9271,79.8612,LKR,25-01-2024,2,8,7411.95,59295.6,Business,Delta,Airbnb,Spring,Train,Business Visa,1.5,Photography,13002.7
TRIP-000630,Abu Dhabi,UAE,Middle East,24.4539,54.3773,AED,20-06-2024,25,1,9581.47,9581.47,Backpacking,Cathay Pacific,5-Star Hotel,Spring,Bus,Tourist Visa,5,Cultural,2922
TRIP-000631,Hong Kong,China,Asia,22.3193,114.1694,HKD,01-10-2020,27,10,4553.45,45534.5,Group Tour,Delta,5-Star Hotel,Winter,Flight,On Arrival,5,Wildlife Safari,9142.1
TRIP-000632,Seoul,South Korea,Asia,37.5665,126.978,KRW,27-08-2022,1,9,3310.35,29793.15,Leisure,Cathay Pacific,3-Star Hotel,Autumn,Bus,Business Visa,3,Cultural,1456.3
TRIP-000633,Tallinn,Estonia,Europe,59.437,24.7536,EUR,03-01-2019,5,5,9531.21,47656.05,Solo,Singapore Airlines,5-Star Hotel,Spring,Cruise,Visa Free,2,Beach,977.8
TRIP-000634,Reykjavik,Iceland,Europe,64.1265,-21.8174,ISK,07-08-2019,14,6,2727.76,16366.56,Honeymoon,IndiGo,Homestay,Summer,Walking Tour,E-Visa,1.5,Diving,873
TRIP-000635,Bogota,Colombia,South America,4.711,-74.0721,COP,17-04-2019,9,1,3319.7,3319.7,Backpacking,Emirates,Boutique Hotel,Summer,Flight,On Arrival,5,Diving,6165.4
TRIP-000636,Ulaanbaatar,Mongolia,Asia,47.8864,106.9057,MNT,20-02-2019,8,9,6585.2,59266.8,Group Tour,ANA,4-Star Hotel,Summer,Bus,On Arrival,2,Diving,4638.7
TRIP-000637,Lisbon,Portugal,Europe,38.7223,-9.1393,EUR,01-10-2020,18,7,9621.25,67348.75,Business,Thai Airways,Guest House,Autumn,Bus,Tourist Visa,5,Sightseeing,6831
TRIP-000638,Ho Chi Minh City,Vietnam,Asia,10.8231,106.6297,VND,24-01-2021,20,5,8426.98,42134.9,Honeymoon,Delta,Camping,Autumn,Flight,Business Visa,4,Diving,14988.7
TRIP-000639,Tel Aviv,Israel,Middle East,32.0853,34.7818,ILS,14-10-2018,10,2,4073.99,8147.98,Luxury,Air France,Boutique Hotel,Summer,Motorbike,Transit Visa,1.5,Shopping,12474.4
TRIP-000640,Dakar,Senegal,Africa,14.7167,-17.4677,XOF,06-12-2020,25,8,2875.53,23004.24,Backpacking,Delta,Resort,Spring,Bus,Transit Visa,3.5,Sightseeing,5190.3
TRIP-000641,Lagos,Nigeria,Africa,6.5244,3.3792,NGN,06-05-2023,1,1,6792.52,6792.52,Backpacking,IndiGo,Boutique Hotel,Spring,Train,E-Visa,4,Sightseeing,8381.3
TRIP-000642,Montreal,Canada,North America,45.5017,-73.5673,CAD,29-12-2022,22,2,3659.35,7318.7,Solo,Turkish Airlines,3-Star Hotel,Spring,Train,Visa Free,4,Shopping,12429.3
TRIP-000643,Beijing,China,Asia,39.9042,116.4074,CNY,26-12-2022,1,4,7482.82,29931.28,Solo,Lufthansa,4-Star Hotel,Autumn,Car Rental,Business Visa,3,Skiing,10240.3
TRIP-000644,Buenos Aires,Argentina,South America,-34.6037,-58.3816,ARS,31-05-2018,9,8,9064.17,72513.36,Group Tour,Qatar Airways,Airbnb,Winter,Bus,E-Visa,2.5,Food Tour,206.3
TRIP-000645,Vancouver,Canada,North America,49.2827,-123.1207,CAD,06-05-2024,22,10,5738.37,57383.7,Leisure,Singapore Airlines,Airbnb,Summer,Cruise,Business Visa,1.5,Sightseeing,8863.7
TRIP-000646,San Francisco,USA,North America,37.7749,-122.4194,USD,23-12-2023,20,5,6870.67,34353.35,Group Tour,United,5-Star Hotel,Autumn,Bicycle,Visa Free,4.5,Cultural,129.1
TRIP-000647,Los Angeles,USA,North America,34.0522,-118.2437,USD,24-10-2023,15,8,3742.42,29939.36,Honeymoon,Emirates,Airbnb,Winter,Walking Tour,On Arrival,1,Sightseeing,13268.7
TRIP-000648,Santiago,Chile,South America,-33.4489,-70.6693,CLP,08-03-2020,11,2,8824.96,17649.92,Honeymoon,Air India,Boutique Hotel,Spring,Car Rental,Business Visa,1,Hiking,14854.9
TRIP-000649,Nairobi,Kenya,Africa,-1.2921,36.8219,KES,27-06-2021,3,2,473.15,946.3,Budget,IndiGo,Resort,Autumn,Car Rental,Tourist Visa,4,Skiing,12140.1
TRIP-000650,Santorini,Greece,Europe,36.3932,25.4615,EUR,27-10-2021,27,1,8252.01,8252.01,Leisure,IndiGo,Homestay,Winter,Train,Transit Visa,5,Skiing,11932.3
TRIP-000651,Almaty,Kazakhstan,Asia,43.222,76.8512,KZT,27-05-2019,3,1,9183.8,9183.8,Leisure,IndiGo,3-Star Hotel,Spring,Walking Tour,Tourist Visa,4,Cultural,4767.9
TRIP-000652,Johannesburg,South Africa,Africa,-26.2041,28.0473,ZAR,04-11-2022,3,2,6840.13,13680.26,Group Tour,Turkish Airlines,4-Star Hotel,Winter,Car Rental,E-Visa,5,Photography,877.8
TRIP-000653,Tokyo,Japan,Asia,35.6762,139.6503,JPY,01-02-2023,13,8,7992.61,63940.88,Business,ANA,Camping,Autumn,Car Rental,Tourist Visa,1.5,Beach,5160.3
TRIP-000654,Tokyo,Japan,Asia,35.6762,139.6503,JPY,03-09-2024,23,2,6010.29,12020.58,Adventure,United,Camping,Autumn,Motorbike,Visa Free,2.5,Skiing,13575.1
TRIP-000655,Cusco,Peru,South America,-13.5319,-71.9675,PEN,18-12-2024,15,3,2582.89,7748.67,Family,Delta,Boutique Hotel,Autumn,Cruise,E-Visa,1,Diving,1001.3
TRIP-000656,Riga,Latvia,Europe,56.9496,24.1052,EUR,20-08-2019,5,8,3225.01,25800.08,Business,Cathay Pacific,Homestay,Summer,Flight,Business Visa,3.5,Diving,4436.9
TRIP-000657,Amman,Jordan,Middle East,31.9454,35.9284,JOD,12-08-2018,14,6,2114.99,12689.94,Honeymoon,IndiGo,4-Star Hotel,Autumn,Car Rental,Transit Visa,2.5,Skiing,9644.3
TRIP-000658,San Francisco,USA,North America,37.7749,-122.4194,USD,30-03-2023,20,6,8549.69,51298.14,Group Tour,British Airways,3-Star Hotel,Spring,Walking Tour,Tourist Visa,3.5,Skiing,9279.9
TRIP-000659,Bali,Indonesia,Asia,-8.3405,115.092,IDR,16-01-2018,21,4,6993.56,27974.24,Honeymoon,ANA,Resort,Winter,Car Rental,Visa Free,4.5,Hiking,9396.4
TRIP-000660,Paris,France,Europe,48.8566,2.3522,EUR,26-01-2022,1,2,3707.29,7414.58,Family,ANA,Hostel,Autumn,Flight,Tourist Visa,5,Food Tour,1816.3
TRIP-000661,Shanghai,China,Asia,31.2304,121.4737,CNY,09-03-2021,6,4,8876.75,35507,Luxury,Lufthansa,3-Star Hotel,Summer,Flight,Business Visa,2,Cultural,5163.3
TRIP-000662,Mumbai,India,Asia,19.076,72.8777,INR,27-03-2018,27,3,3913.44,11740.32,Honeymoon,Air France,Guest House,Summer,Motorbike,On Arrival,1.5,Hiking,5141.9
TRIP-000663,Riyadh,Saudi Arabia,Middle East,24.7136,46.6753,SAR,27-12-2024,29,7,8808.2,61657.4,Adventure,IndiGo,Hostel,Summer,Bicycle,Transit Visa,1.5,Shopping,1865.6
TRIP-000664,Reykjavik,Iceland,Europe,64.1265,-21.8174,ISK,21-09-2024,14,4,9225.93,36903.72,Family,IndiGo,3-Star Hotel,Autumn,Car Rental,Tourist Visa,2.5,Cultural,12831.1
TRIP-000665,Toronto,Canada,North America,43.6532,-79.3832,CAD,13-09-2023,19,8,2250.53,18004.24,Budget,Qatar Airways,3-Star Hotel,Winter,Motorbike,Visa Free,1.5,Diving,11791.5
TRIP-000666,Jakarta,Indonesia,Asia,-6.2088,106.8456,IDR,04-01-2020,11,6,5349.66,32097.96,Backpacking,ANA,Airbnb,Winter,Flight,Business Visa,4.5,Food Tour,10763.2
TRIP-000667,Shanghai,China,Asia,31.2304,121.4737,CNY,26-01-2023,28,4,4079.82,16319.28,Group Tour,Delta,3-Star Hotel,Autumn,Cruise,E-Visa,3,Beach,6432.8
TRIP-000668,Berlin,Germany,Europe,52.52,13.405,EUR,11-12-2018,10,8,5284.44,42275.52,Backpacking,Cathay Pacific,Homestay,Autumn,Bicycle,Visa Free,2.5,Skiing,8801
TRIP-000669,Osaka,Japan,Asia,34.6937,135.5023,JPY,03-08-2022,12,8,3306.8,26454.4,Backpacking,Lufthansa,Airbnb,Spring,Motorbike,Tourist Visa,4,Cultural,468.3
TRIP-000670,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,02-10-2023,18,2,7901.56,15803.12,Leisure,British Airways,5-Star Hotel,Summer,Motorbike,Business Visa,2.5,Shopping,1566.3
TRIP-000671,Florence,Italy,Europe,43.7696,11.2558,EUR,24-05-2021,24,5,2068.3,10341.5,Luxury,Korean Air,Airbnb,Spring,Cruise,On Arrival,2,Shopping,14976.2
TRIP-000672,Havana,Cuba,North America,23.1136,-82.3666,CUP,20-07-2022,27,10,7626.5,76265,Luxury,IndiGo,3-Star Hotel,Winter,Car Rental,Business Visa,1,Food Tour,7132.9
TRIP-000673,Hanoi,Vietnam,Asia,21.0285,105.8542,VND,15-08-2020,17,10,7902.55,79025.5,Backpacking,British Airways,4-Star Hotel,Autumn,Car Rental,Visa Free,4.5,Wildlife Safari,10865.4
TRIP-000674,Hong Kong,China,Asia,22.3193,114.1694,HKD,02-12-2022,15,9,495.02,4455.18,Adventure,Air France,5-Star Hotel,Winter,Motorbike,On Arrival,2,Food Tour,8704.9
TRIP-000675,Phuket,Thailand,Asia,7.8804,98.3923,THB,10-10-2022,22,7,7675.85,53730.95,Budget,Emirates,Homestay,Spring,Bus,Business Visa,5,Shopping,4564.6
TRIP-000676,Tel Aviv,Israel,Middle East,32.0853,34.7818,ILS,05-10-2024,30,10,5824.01,58240.1,Honeymoon,Turkish Airlines,4-Star Hotel,Winter,Car Rental,Visa Free,4,Beach,14704.6
TRIP-000677,Nairobi,Kenya,Africa,-1.2921,36.8219,KES,21-05-2024,15,5,1113.77,5568.85,Adventure,Emirates,Homestay,Winter,Flight,Business Visa,1.5,Food Tour,10155.8
TRIP-000678,Amsterdam,Netherlands,Europe,52.3676,4.9041,EUR,30-04-2022,10,4,2483.79,9935.16,Business,British Airways,Camping,Spring,Bus,On Arrival,5,Wildlife Safari,1142.7
TRIP-000679,Santiago,Chile,South America,-33.4489,-70.6693,CLP,06-10-2019,4,3,5457.24,16371.72,Group Tour,Korean Air,Hostel,Summer,Car Rental,On Arrival,4.5,Wildlife Safari,11172.8
TRIP-000680,Sao Paulo,Brazil,South America,-23.5505,-46.6333,BRL,29-04-2023,6,10,5835.9,58359,Luxury,Air India,Guest House,Autumn,Car Rental,Tourist Visa,3,Hiking,8853.6
